OBJECT_TYPE,SCHEMA_NAME,OBJECT_NAME,DDL
STAGE,AICORTEX,CHATBOT_APP,"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""AICORTEX"".""CHATBOT_APP"" /* URL= TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=2025-10-22 13:44:57.000 -0700 */"
STAGE,DATAADMIN,MVSSJOAF_0DBNQI5 (Stage),"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATAADMIN"".""MVSSJOAF_0DBNQI5 (Stage)"" /* URL= TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=<NULL> */"
STAGE,DATAADMIN,PX_3R30GMQQ0OF_2 (Stage),"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATAADMIN"".""PX_3R30GMQQ0OF_2 (Stage)"" /* URL= TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=<NULL> */"
STAGE,DATAADMIN,STAGE-AVERO,"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATAADMIN"".""STAGE-AVERO"" /* URL=[""s3://prod-pos-01-metl/""] TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=<NULL> */"
STAGE,AICORTEX,AICORTEX_STAGE,"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""AICORTEX"".""AICORTEX_STAGE"" /* URL=[""s3://prod-pos-01-metl/AICORTEX/""] TYPE=<NULL> COMPRESSION=<NULL> ENCODING=<NULL> LAST_REFRESHED_ON=2025-07-17 20:36:36.000 -0700 */"
STAGE,AICORTEX,NOTEBOOK,"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""AICORTEX"".""NOTEBOOK"" /* URL= TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=2025-07-17 20:42:35.000 -0700 */"
STAGE,DATAADMIN,MQ3AF5C196310B3Z (Stage),"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATAADMIN"".""MQ3AF5C196310B3Z (Stage)"" /* URL= TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=<NULL> */"
STAGE,DATALANDING,STAGE_POSDEV_MQA_20240326,"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATALANDING"".""STAGE_POSDEV_MQA_20240326"" /* URL=[""s3://posdev-mqa-metl-dev/""] TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=<NULL> */"
STAGE,DATAADMIN,HVH14UJPSIO8379G (Stage),"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATAADMIN"".""HVH14UJPSIO8379G (Stage)"" /* URL= TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=<NULL> */"
STAGE,DATAADMIN,STAGE_METL_BACKUP,"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATAADMIN"".""STAGE_METL_BACKUP"" /* URL=[""s3://prod-pos-01-metl/STAGE_METL_BACKUP/""] TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=2025-11-21 06:46:38.000 -0800 */"
STAGE,DATAADMIN,AVSOFSK9Y4SI4A8V (Stage),"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATAADMIN"".""AVSOFSK9Y4SI4A8V (Stage)"" /* URL= TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=<NULL> */"
STAGE,DATAADMIN,STAGE-365FTP,"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATAADMIN"".""STAGE-365FTP"" /* URL=[""s3://prod-pos-01-metl/""] TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=<NULL> */"
STAGE,DATALANDING,STAGE-MQA-20240523,"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATALANDING"".""STAGE-MQA-20240523"" /* URL=[""s3://posdev-mqa-metl-dev/""] TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=<NULL> */"
STAGE,DATALANDING,STAGE_PRD_20240601,"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATALANDING"".""STAGE_PRD_20240601"" /* URL=[""s3://prod-pos-01-metl/2024-06-01/""] TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=2025-11-21 06:42:15.000 -0800 */"
STAGE,DATALANDING,STAGE-MQA-20240326,"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATALANDING"".""STAGE-MQA-20240326"" /* URL=[""s3://posdev-mqa-metl-dev/2024-03-26/""] TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=<NULL> */"
STAGE,DATAADMIN,TVOZEV5CPBSYNJFX (Stage),"CREATE OR REPLACE STAGE ""PRD_HOSPENG_REPORTING"".""DATAADMIN"".""TVOZEV5CPBSYNJFX (Stage)"" /* URL= TYPE=CSV COMPRESSION=AUTO ENCODING=UTF8 LAST_REFRESHED_ON=2025-08-05 07:40:40.000 -0700 */"
